Content-based image retrieval for fabric images: A survey,"In recent years, a great deal of research has been conducted in the area of fabric image retrieval, especially the identification and classification of visual features. One of the challenges associated with the domain of content-based image retrieval (CBIR) is the semantic gap between low-level visual features and high-level human perceptions. Generally, CBIR includes two main components, namely feature extraction and similarity measurement. Therefore, this research aims to determine the content-based image retrieval for fabric using feature extraction techniques grouped into traditional methods and convolutional neural networks (CNN). Traditional descriptors deal with low-level features, while CNN addresses the high-level, called semantic features. Traditional descriptors have the advantage of shorter computation time and reduced system requirements. Meanwhile, CNN descriptors, which handle high-level features tailored to human perceptions, deal with large amounts of data and require a great deal of computation time. In general, the features of a CNN's fully connected layers are used for matching query and database images. In several studies, the extracted features of the CNN's convolutional layer were used for image retrieval. At the end of the CNN layer, hash codes are added to reduce search time. © 2021 Institute of Advanced Engineering and Science. All rights reserved.",CBIR CNN Fabric image Feature extraction Traditional descriptor 
Deep learning-based Anomaly Detection on Surveillance Videos: Recent Advances,"Surveillance cameras number keep increasing from year to year, in 2017 alone estimated 106 million new CCTV installed. Surveillance cameras are installed to widen surveillance coverage in order to detect anomalies. Conventionally, detecting anomalies through surveillance cameras are using human observers. The increasing number of surveillance cameras installed is increasing the need for an automatic system to replace unreliable human observer. Thus an intelligent computer vision-based system to detect anomalies need to be developed. The goal of this system is to provide a warning to the first responder accurately and as fast as possible while the system is running all the time. The faster the response of the first responder, the better chance of an anomaly to be resolved. Deep learning based method has been proposed to solve anomaly detection on videos. Anomaly detected is composed of a set of violent and non-violent crimes with high impact in society. To increase the accuracy of previous system to detect anomalies in condition that resembles real life situation, multiple processes need to be combined. This paper will review various method used to increase the performance of a deep learning based action recognition on videos. To capture temporal information effectively the model need to be able to use multimodalities to detect motion, incorporating long-range temporal structure, and numerous deep learning architectures with various characteristics. © 2019 IEEE.",action recognition; anomaly; CCTV; deep learning; untrimmed; weakly supervised Anomaly detection; Cameras; Learning systems; Monitoring; Security systems; Action recognition; Learning architectures; Learning-based methods; Surveillance cameras; Surveillance video; Temporal information; Temporal structures; Vision based system; Deep learning
User profile correlation-based similarity (UPCSim) algorithm in movie recommendation system,"Collaborative filtering is one of the most widely used recommendation system approaches. One issue in collaborative filtering is how to use a similarity algorithm to increase the accuracy of the recommendation system. Most recently, a similarity algorithm that combines the user rating value and the user behavior value has been proposed. The user behavior value is obtained from the user score probability in assessing the genre data. The problem with the algorithm is it only considers genre data for capturing user behavior value. Therefore, this study proposes a new similarity algorithm – so-called User Profile Correlation-based Similarity (UPCSim) – that examines the genre data and the user profile data, namely age, gender, occupation, and location. All the user profile data are used to find the weights of the similarities of user rating value and user behavior value. The weights of both similarities are obtained by calculating the correlation coefficients between the user profile data and the user rating or behavior values. An experiment shows that the UPCSim algorithm outperforms the previous algorithm on recommendation accuracy, reducing MAE by 1.64% and RMSE by 1.4%. © 2021, The Author(s).",Collaborative filtering; UPCSim; User behavior value; User rating value 
Recommendation algorithm using clustering-based upcsim (Cb-upcsim),"One of the well-known recommendation systems is memory-based collaborative filtering that utilizes similarity metrics. Recently, the similarity metrics have taken into account the user rating and user behavior scores. The user behavior score indicates the user preference in each product type (genre). The added user behavior score to the similarity metric results in more complex com-putation. To reduce the complex computation, we combined the clustering method and user behavior score-based similarity. The clustering method applies k-means clustering by determination of the number of clusters using the Silhouette Coefficient. Whereas the user behavior score-based similarity utilizes User Profile Correlation-based Similarity (UPCSim). The experimental results with the MovieLens 100k dataset showed a faster computation time of 4.16 s. In addition, the Mean Ab-solute Error (MAE) and Root Mean Square Error (RMSE) values decreased by 1.88% and 1.46% com-pared to the baseline algorithm. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",Collaborative filtering; K-means clustering; Memory-based; Silhouette Coefficient; Similarity metrics 
Designing a tourism recommendation system using a hybrid method (Collaborative Filtering and Content-Based Filtering),"A recommendation system is an application model based on observations of the customers circumstances and desires. The recommendation system can be applied in various fields, one of which is tourism. By utilizing a recommendation system, tourism can introduce and promote its tourism to the wider community. In the recommendation system, several methods are used to support how the system works in producing information. This papers uses the Hybrid (Collaborative Filtering Content-Based Filtering) method and the Nearest Neighbor (NN) algorithm. This method has a weakness when an item does not have a rating at all. Therefore, it needs a method that can overcome the weaknesses of the method. We implement a hybrid method, which combines several methods in the recommendation system to produce recommendation items under the users wishes. In addition, this system will use Whatsapp Messenger as a promotional medium. This paper aims to propose a recommendation system that will help several historical tours become the foremost destinations when visiting Palembang. The result of developing this recommendation system is a website that can recommend tours desired by users. © 2021 IEEE.",Collaborative Filtering; Content-Based; Hybrid; Nearest Neighbor; Recommendation System; Tourism Collaborative filtering; Tourism; Application modeling; Content based filtering; Hybrid method; Nearest neighbor algorithm; Recommender systems
Empathetic Chatbot Enhancement and Development: A Literature Review,"Chatbots are dialog engines for interactive user experience which help by providing stakeholders such as consumers, device owners, maintenance workers, and so on with real-time tools (answers to any questions, instructions to use the equipment, help for decisions, etc.). Nowadays, chatbot usage is not only for closed domain needs but has also become common across companies. Some businesses use chatbots for their customer support to provide details for the client and also to allow online transactions. It is crucial that businesses should not look at chatbots simply as a digital medium for advertisement. They should be focusing on the part of the Chatbot communication service. To improve the interaction of chatbot communication service, a blended skill chatbot was proven to have a great performance which also having an inference, personalization, empathy, and knowledge. In this paper, we conduct a literature review that giving an insight into the recent development and statistical inference for empathetic chatbots and having a result of 13% of a hybrid model, 27% of a retrieval model, and 60% of the generative model to be analyzed its trends. © 2021 IEEE.",architecture model; chatbot; empathetic; literature review User experience; Communication service; Customer support; Generative model; Literature reviews; Maintenance workers; Online transaction; Retrieval models; Statistical inference; Artificial intelligence
Determining Priority of Ten Usability Heuristic Using Consistent Fuzzy Preference Relations,"One of the most commonly used usability checking methods is heuristic evaluation. This method has ten usability principles called usability heuristics by involving experts as evaluators. In conducting heuristic evaluations, evaluation results have been found with the same severity ratings of several heuristic principles but have not been discussed by previous studies. Therefore, the purpose of this study is to calculate the level of importance/priority of the ten principles/criteria of usability heuristics. The method used in this study is consistent fuzzy preference relationship which is included in multi-criteria decision making. The results of this study obtained the importance/priority of the ten most commonly used usability heuristics. The order from highest priority to lowest priority is as follows: (1)visibility of system status, (2)user control and freedom, (3)consistency and standards, (4)compatibility between the system and the real world, (5)error prevention, (6)recognition rather than recall, (7)flexibility and efficiency of use, (8)help and documentation, (9)aesthetic and minimalist design, (10)helping users identify, diagnose and recover from errors. © 2021 IEEE.",consistent fuzzy preference relations; determining priority; multi-criteria decision making; ten usability heuristic Decision making; Usability engineering; Consistent fuzzy preference relation; Consistent fuzzy preferences; Determining priority; Fuzzy preference relations; Heuristic evaluation; Multi criteria decision-making; Multicriteria decision-making; Multicriterion decision makings; Ten usability heuristic; Usability heuristics; Heuristic methods
A Review of Expert System for Identification Various Risk in Pregnancy,"The rapid growth of information technology allows us to create new technologies that can be applied later on to other fields. The thing that is developing is an expert system where this technology can later be applied to the medical world, especially in identifying risks during pregnancy. Ifsuch risks can be detected earlier, preventive steps can help expectant mothers and health workers.The Systematic Literature Review will address different approaches inside the expert framework, which can be used to identify early symptoms encountered by pregnant women. The whole process to be identified comes from a variety of available sources of literature. A total of 17 papers reviewed were published between 1985 and 2019. From this study, it can be inferred that premature birth and hypertension threats are the most observed. Rule-based systems and Artificial neural networks are the most commonly used approaches. © 2020 IEEE.",Detection; Expert Systems; Machine Learning; Risk Pregnancy; Systematic Literature Review Expert systems; Neural networks; Obstetrics; Pregnant woman; Rapid growth; Systematic literature review; Whole process; Health risks
Automated Item Generation: Model and Development Technique,"The development of Computer Assisted Assessment (CAA) has helped the assessment process. Some of the advantages offered by these tools are effectivity and speed. But there are still obstacles in the process of compiling the items. Therefore, we need tools to overcome this problem. Automated Item Generation (AIG) is a tool to generate questions using computer devices. Several models and techniques in AIG had been developed. AIG research is grouped into 2 models i.e. the framework model and special model. In the previous study, the AIG was divided into two approaches, automatic and semi-automatic. Several techniques were developed to produce high-quality and variety of items. Each technique has advantages and disadvantages in generating items. Thus, there is still a need for developing AIG to answer the challenges that have not been resolved in the previous study. This paper presents a literature review to identify a specific problem in each model and technique especially for mathematic and non-verbal items, validity and reliability of the items, and the schema or infrastructure presented to generate the items. This paper also gives possible suggestions on how to make an improvement the items generated to be better in the future. © 2020 IEEE.",AIG Model; AIG Technique; Automated Item Generation; Computer Assisted Assessment Computer science; Computers; Electrical engineering; Mathematical techniques; Assessment process; Computer assisted assessment; Computer device; Development technique; Framework models; Literature reviews; Semi-automatics; Specific problems; Automation
Automatic Question Generator System Conceptual Model for Mathematic and Geometry Parallel Question Replication,"Weaknesses in the paper assessment process have been able to overcome using the Computer Assisted Assessment (CAA) objective question. The weakness that can be overcome is the reduction in time for correction and the process of handling thousands of participants simultaneously. However, the process of preparing objective questions is still constrained by providing parallel questions. Parallel questions are made so that each examinee gets a different question but has the same level of difficulty. Making parallel questions manually requires expensive costs and the consistency of the difficulty level must be the same. Some researchers propose an Automatic Question Generation (AQG) system to overcome these problems. In this study an AQG system will be developed to make parallel questions for the material tested at each school level. The process of previous generating questions that can only detect text and numeric variables, will be developed so that they can detect image variables and can detect geometry types based on numerical variables. The system is expected to work like humans who can make questions when given a text, numeric, image, or mathematical notation. By combining the Stem, Multi Part Parser Algorithm and the Custom Media Type Parser Algorithm in the Python-Django framework, the system can provide question recommendations according to mathematical geometry-based input. The process of generating items in this study will use the concept of manipulation of keywords represented by variables. This variable stores values in the form of text, numeric, and image. The ability to manipulate text, numerics, and images is applied to the developed AQG system so that it can be used to generate questions on the material to be tested. AQG is expected to be able to detect text, numeric, notation, and image input and produce output in the form of geometry-based mathematical problems according to text, numeric, notation, and image input with a better level of accuracy. © 2020 IOP Publishing Ltd. All rights reserved.", Physics; Assessment process; Computer assisted assessment; Conceptual model; Generator systems; Level of difficulties; Mathematical notations; Mathematical problems; Numerical variables; Geometry
Improving Money Laundering Detection Using Optimized Support Vector Machine,"Identification of financial transactions as suspicious or fraudulent transactions that are indicated as money laundering is mostly done manually so that it is not optimal. Data mining techniques can be a solution to overcome the limitations of the manual method. The main challenge in applying data mining techniques for financial fraud detection is an imbalanced dataset, where the proportion of fraud class is much smaller than non-fraud. This causes the model to produce unbalanced precision and recall, resulting in a low f1score. It means that the model can predict one class well, but not with another class. In this paper, the approach to fraud detection in financial transactions is carried out with classifier optimization based on Support Vector Machine (SVM). Optimization is performed by tuning the kernels and hyperparameters combined with the Random Under Sampling (RUS) technique. Specifically, RUS is used to handle imbalanced datasets and cut model training time. With this combination technique, the classifier can detect fraud more effectively with an increase in precision of 40.82% and f1-score of 22.79% compared to the previous study. A combination technique can be an approach to cover weaknesses left behind by a single method. © 2019 IEEE.",Anti Money Laundering; Data Mining; Fraud Detection; RUS; SVM Classifier Crime; Finance; Intelligent systems; Laundering; Support vector machines; Financial fraud detections; Financial transactions; Fraudulent transactions; Imbalanced Data-sets; Imbalanced dataset; Money laundering; Precision and recall; Random under samplings; Data mining
Dropout Prediction Optimization through SMOTE and Ensemble Learning,"Dropout rates on Massive Open Online Courses (MOOCs) are still very high. One effort to reduce the number of dropouts is by interfering at-risk students. An accurate and high consistency prediction system is needed. Machine learning method is the most popular in handling this case. The focus of machine learning that ensures the ability of models in generalizing knowledge makes overfitting a critical issue in supervised learning. Thus, a single classifier may fail to classify correctly. Besides, the inherent class imbalance between dropout (majority class) and non-dropout (minority) makes it difficult to build robust predictions. To overcome this problem, an ensemble learning (EL) is combined with synthetic minority over-sampling technique (SMOTE). The SMOTE-Ensemble Learning (SEL) is done by majority voting from three base machine learning methods: Logistic Regression (LR), K-Nearest Neighbor (KNN) and Random Forest (RF). The result on the KDDCUP2015 dataset shows that this combination able to improve prediction performance with an average improvement of the harmonic mean of precision and recall (F1-score): 7.74% compared to previous work. © 2019 IEEE.",Dropout Prediction; Ensemble Learning; KDDCUP2015; Massive Open Online Courses; SMOTE Decision trees; Intelligent systems; Logistic regression; Machine learning; Nearest neighbor search; K nearest neighbor (KNN); Machine learning methods; Massive open online course; Precision and recall; Prediction performance; Prediction systems; Robust predictions; Synthetic minority over-sampling techniques; Forecasting
Development and evaluation of adaptive metacognitive scaffolding for algorithm-learning system,"Adaptive metacognitive scaffolding is developed to provide learning assistance on an as-needed basis; thus, advances the effectiveness of computer-based learning systems. Metacognitive scaffoldings have been developed for some science subjects; however, not for algorithm-learning. The learning algorithm is different from learning science as it is more oriented to problem-solving; therefore, this study is aimed to describe the modelling, development, and evaluation of the adaptive metacognitive scaffolding which is dedicated for encouraging algorithm-learning. In addition, the authors present a new approach for learner modelling to find students' metacognitive state. Adaptivity of the scaffolding is based on the learner modelling. To evaluate the effectiveness of the developed system, it is deployed in a real algorithm-learning classroom of 38 students. The class is randomly divided into two groups: experiment and control. Two parameters are measured from both groups, i.e. academic success and academic satisfaction. Non-parametric statistical test, i.e. Mann-Whitney U-test (significance level 0.01) rejects the null hypothesis (U-value = 86.5 and U-critical = 101). This result verifies that the academic success of the experiment group is significantly higher than that of the control group. In addition, an academic satisfaction survey shows that adaptive scaffolding is valid in assisting students while learning with the system. © The Institution of Engineering and Technology 2018.", Learning systems; Scaffolds; Statistical tests; Students; Algorithm learning; Computer-based learning systems; Learning science; Mann-Whitney U test; Metacognitive scaffoldings; Non-parametric statistical tests; Null hypothesis; Significance levels; Learning algorithms
Sentiment analysis on product review using support vector machine (SVM),"Public opinion can influence an organization or a company profile. It is important for the company to evaluate public response regarding their products. However, monitoring and organizing of public opinion are not easy. There are many published opinions in social media that is difficult to be processed manually. Therefore, a technique for automatically categorizing public reviews into positive or negative is needed. This research examined the classification of user reviews on products Windows Phone by implementing Support Vector Machine (SVM). This study used four different methods in tokenization stage: unigram, bigram, trigram, and n-gram. In the preprocessing data, there were 8 experiments whereas each group implemented 2 stemming algorithms (Snowball Stemmer and Iterated-Lovin Stemmer). The results were used as input of classification. Each input was classified 3 times with values C 0.25, 0.5, and 1.0. In conclusion, the result yielded the most appropriate model from n-gram with algorithm Iterated-Lovin Stemmer and C value 1.0. Finally, the use of SVM proves to be feasible approach of sentiment analysis regarding specific product. © 2019 IEEE.",Bigram; N-gram; Sentiment analysis; Support vector machine; Trigram; Unigram Sentiment analysis; Social aspects; Appropriate models; Company profile; Product reviews; Public opinions; Public review; Stemming algorithms; Tokenization; Windows phones; Support vector machines
What is informatics education students’impression of using metacognitive training system at the first time?,"The use of Metacognitive Training System (MTS) is relatively new in Indonesia. Previously, a prototype of MTS has been developed and applied in Universitas Gadjah Mada. To become a massive product, the prototype of the MTS must be tested on a larger scale. It is intended to capture user impression about a new product. In this paper, we present User Experience (UX) measurement for the developed MTS in larger scale, involving 90 undergraduate students of informatics education at Universitas Negeri Malang. Two UX measurement methods are used, including User Experience Questionnaires (UEQ) and short-interview. UEQ is used for capturing general impressions, whereas, short-interview is conducted to get deeper feedback about the efficacy of the MTS in their studies. The UX measurement result is benchmarked and revealed that Attractiveness, Efficiency, and Stimulation categorized excellent and the interview result shows that more than 75% respondent responds with the positive answer in five questions. With this result, it could be concluded that the MTS is ready for massive product. © 2018 IEEE.",Metacognitive training system; Student impression; User experience Informatics; Information systems; Information use; Surveys; Indonesia; Informatics education; Measurement methods; Metacognitives; Training Systems; Undergraduate students; User experience; User experiences (ux); Students
User-centered design on metacognitive training system: A case in algorithm and data structure course,"Metacognitive training system (MTS) is a computer-based learning system aimed at developing students' metacognition. Metacognition is needed to develop students' self-regulation which is required for learning complex topics such as algorithm and data structure (ADS). Previously, we develop an MTS to support algorithm-learning. However, the approach tends to be technology-centered, thus, producing low usability score. Therefore, this paper proposes an incorporation of user-centered design (UCD) into the development of the MTS to produce a more usable system. As a result, new information architecture, wireframe, and user interface design are obtained. Finally, the system usability testing is conducted to compare two versions of the MTS, i.e. older and newer version. The result shows that the newer version has higher usability scale. In addition, the newer version of the MTS shows a positive impact on a real learning situation, indicated by the significant difference on students' performance between control and experiment group. © 2018 IEEE.",Algorithm and data structure; Metacognitive training system; User interface design; User-centered design Cognitive systems; Curricula; Data structures; Learning algorithms; Software design; Students; User centered design; Algorithm learning; Computer-based learning systems; Information architectures; Learning situation; Students' performance; Training Systems; User Centered Design(UCD); User interface designs; User interfaces
A Framework for Improving Recommendation in Adaptive Metacognitive Scaffolding,"Metacognitive scaffolding is an important pedagogical support to encourage self-regulated learning, especially in computer-based learning environments. Currently, an e-learning system which is complemented by metacognitive scaffolding has been developed. The scaffolding includes a recommendation system given by a virtual pedagogical agent. However, an academic satisfaction evaluation on the system reveals that the recommendation is less helpful. Therefore, this paper proposes a framework for providing a better recommendation. Two types of recommendations are aimed, including recommendation for the definition of learning goal/sub-goal and learning strategy. Goal/sub-goal recommendation is generated by identifying students' level of prior knowledge by using text classification algorithm. On the other hand, the strategy-use recommendation is generated by modeling the fitness of previously used learning strategy using fuzzy inference system and analyzing students' interaction log with the learning strategy. Implementation of the proposed scheme produces a prototype of the recommendation system. An A/B testing is conducted to compare previous and newer recommendation systems. The test shows that most of the users prefer to use the improved recommendation system. © 2018 IEEE.",algorithm learning; fuzzy inference system; metacognitive scaffolding; recommendation; student modeling Classification (of information); Computer aided instruction; E-learning; Fuzzy inference; Fuzzy systems; Inference engines; Learning systems; Scaffolds; Students; Text processing; Algorithm learning; Fuzzy inference systems; Metacognitive scaffoldings; recommendation; Student Modeling; Recommender systems
Tahani model of fuzzy database for an adaptive metacognitive scaffolding in Hypermedia Learning Environment (Case: Algorithm and structure data course),"Studies show that an adaptive learning environment is needed by learners. Adaptive e-learning systems have been developed with personalized instructions based on student's knowledge level. Since each student has a unique cognitive and metacognitive level, we currently develop an adaptive Hypermedia Learning Environment (HLE) for Algorithm and Data Structure Course based on a metacognitive awareness level. HLE provides adaptive scaffolding as instructional interventions to facilitate students' aptitude in programming. Scaffolding can be determined by knowing student's metacognitive awareness level. In this research, we propose the use of Tahani Model of Fuzzy Database in web-based HLE to support the adaptive decision-making. Tahani is one of some feasible models in a fuzzy database that can categorize students' metacognitive awareness level. The produced fuzzy rules have been validated by metacognitive experts of educational psychology. A hundred students have been categorized into three groups (low, medium, high) and provided with appropriate scaffolding. Evaluation results verified the suitability of the proposed method and the student's scaffolding. © 2017 IEEE.",adaptive; e-learning; fuzzy database; metacognitive; scaffolding; Tahani model Adaptive systems; Database systems; Decision making; E-learning; Fuzzy inference; Hypermedia systems; Learning algorithms; Learning systems; Scaffolds; Students; Sustainable development; adaptive; Adaptive e-learning systems; Adaptive hypermedia learning; Adaptive learning environment; Fuzzy database; Hypermedia learning environments; Metacognitives; scaffolding; Computer aided instruction
Heuristic evaluation and user testing with ISO 9126 in evaluating of decision support system for recommendation of outstanding marketing officer,"Multi-Criteria Decision Making in implementation of the Decision Support System (DSS) at BRI Katamso Yogyakarta helps decision makers in providing alternative decisions to choose the outstanding marketing office (MO) with DSS process. After implementation DSS in BRI Katamso, the next step is to evaluate the DSS. The purpose of this paper is to evaluate the DSS by using heuristic evaluation and ISO 9126. Evaluation is needed to test whether the system as expected. An evaluation of the designed system is expected to answer if any problems and improve goal attainment. ISO 9126 works to determine the level of effectiveness, efficiency, satisfaction. Heuristic Evaluation have function to evaluate the User Interface of DSS. Based on the ISO and heuristic evaluation, the general design of the interface and some of the factors effectiveness, efficiency, satisfaction vielded the average value of 3.75 (on a scale of 5). © 2017 IEEE.",BRI Katamso; DSS; Heuristic Evaluation; ISO 9126; Marketing Officer Artificial intelligence; Commerce; Decision making; Efficiency; Marketing; User interfaces; BRI Katamso; Decision makers; Decision support system (dss); General designs; Goal attainment; Heuristic evaluation; Iso 9126; Multi criteria decision making; Decision support systems
Enhancing student clustering to generate adaptive metacognitive instructions in learning system for vocational high school,"Adaptivity in learning systems depends on accuracy of learner modelling. Specifically, for generating cluster-based instructions, quality of student clustering is critical. Studies on student clustering are abundant; however, a system for clustering metacognitive that considers proper analysis technique of Likert-scaled dataset is unavailable. This article proposes a student clustering method which uses a new Likert scale analysis. It is performed on a dataset collected from 81 students of a vocational high school. The performance was compared to previous methods; enhancement is shown by higher silhouette-index and strong correlation with work readiness score. To evaluate the clustering effectiveness, it is implemented on an e-learning system to generate adaptive instructions. The e-learning system is a supplement for fundamental programming course in the school. The t-test result shows that learning gain of experiment group is significantly higher that of the control group. Therefore, the proposed method is effective in improving students' learning quality. Copyright © 2018 Inderscience Enterprises Ltd.",Adaptive metacognitive instructions; Learning system; Likert scale analysis; Student clustering; Vocational high school cluster analysis; cognition; data set; learning; numerical model; secondary education; student
Research methodology for analysis of E-commerce user activity based on user interest using web usage mining,"Visitor interaction with e-commerce websites generates large amounts of clickstream data stored in web access logs. From a business standpoint, clickstream data can be used as a means of finding information on user interest. In this paper, the authors propose a method to find user interest in products offered on e-commerce websites based on web usage mining of clickstream data. In this study, user interest was investigated using the PIE approach coupled with clustering and classification techniques. The experimental results showed that the method is able to assist in analyzing visitor behavior and user interest in e-commerce products by identifying those products that prompt visitor interest. © 2018 Published by ITB Journal Publisher.",Classification; Clickstream; Data mining; E-commerce; User interest; Web access log; Web usage mining 
Semi-supervised learning approach for Indonesian Named Entity Recognition (NER) using co-training algorithm,"The problem of utilizing machine learning approach in Indonesian Named Entity Recognition (NER) system is the limited amount of labelled data for training process. However, unlike the limited availability of labelled data, unlabelled data is widely available from many sources. This enables a semi-supervised learning approach to solve this NER system problem. This research aims to design a semi-supervised learning model to solve NER system problem. A semi-supervised co-training learning is used to utilize unlabelled data in NER learning process to produce new labelled data that can be applied to enhance a new NER classi□cation system. This research uses two kinds of data, Indonesian DBPedia data as labelled data and news article text from Indonesian news sites (kompas.com, cnnindonesia.com, tempo.co, merdeka.com and viva.co.id) as unlabelled data. The pre-processing steps applied to analyze unstructured text are sentence segmentation, tokenization, stemming, and PoS Tagging. The results of this pre-process are the NER and its context used as unlabelled data for the semi-supervised co-training process. The SVM algorithm is used as a classi□cation algorithm in this process. 10 Cross Fold Validation is used as the system testing approach. Based on the result of the NER testing system, the precision is 73.6%, the recall is 80.1% and f1 mean is 76.5%. © 2016 IEEE.",Bahasa Indonesia; Co-Training; F1Score; Labelled Data; NER; Precision; Recall; Semi-Supervised Learning; SVM; Un-labelled Data Computational linguistics; Learning algorithms; Learning systems; Natural language processing systems; Positive ions; Problem solving; Co-training; F1 scores; Indonesia; Labelled Data; Precision; Recall; Semi- supervised learning; Un-labelled Data; Supervised learning